  5  4       -38
 STEP TIME TOTE TOTK ENER
 EP-K TEMP BOND ANGL DIHE
 IMPR VDW  ELEC HBON HARM
 DMC  RGY 
    -233901.1805       1005.0183       1258.9990          0.0000          0.0000
          0.0000       1459.0412      -6085.6685          0.0000          0.0000
          0.0000          0.0000
             130          0.1300    -228367.1731       2774.7137    -231141.8868
    -233916.6005       1012.3410       1264.6633          0.0000          0.0000
          0.0000       1461.6210      -6088.7130          0.0000          0.0000
          0.0000          0.0000
             131          0.1310    -228336.3613       2769.8506    -231106.2118
    -233876.0624       1010.7180       1279.0358          0.0000          0.0000
          0.0000       1494.4590      -6100.3079          0.0000          0.0000
          0.0000          0.0000
             132          0.1320    -228306.6812       2755.8741    -231062.5553
    -233818.4294       1005.6447       1288.9694          0.0000          0.0000
          0.0000       1537.9383      -6110.2201          0.0000          0.0000
          0.0000          0.0000
             133          0.1330    -228287.4060       2726.0434    -231013.4494
    -233739.4928        994.6173       1287.7298          0.0000          0.0000
          0.0000       1588.5180      -6110.7006          0.0000          0.0000
          0.0000          0.0000
             134          0.1340    -228266.9356       2618.7910    -230885.7266
    -233504.5177        955.5436       1278.3178          0.0000          0.0000
          0.0000       1717.5972      -6102.9221          0.0000          0.0000
          0.0000          0.0000
             135          0.1350    -228222.4747       2571.0184    -230793.4930
    -233364.5114        938.0818       1267.5173          0.0000          0.0000
          0.0000       1812.0299      -6094.6237          0.0000          0.0000
          0.0000          0.0000
             136          0.1360    -228216.2482       2685.6352    -230901.8834
    -233587.5185        979.8788       1264.2548          0.0000          0.0000
          0.0000       1706.0249      -6094.0442          0.0000          0.0000
          0.0000          0.0000
             137          0.1370    -228216.3028       2715.7346    -230932.0374
    -233647.7721        990.7604       1271.9249          0.0000          0.0000
          0.0000       1678.7347      -6104.8702          0.0000          0.0000
          0.0000          0.0000
             138          0.1380    -228213.7975       2743.7561    -230957.5536
    -233701.3097       1000.9862       1285.7042          0.0000          0.0000
          0.0000       1654.8583      -6120.5728          0.0000          0.0000
          0.0000          0.0000
             139          0.1390    -228209.2782       2782.5541    -230991.8322
    -233774.3863       1015.3275       1295.0722          0.0000          0.0000
          0.0000       1621.2519      -6130.8902          0.0000          0.0000
          0.0000          0.0000
             140          0.1400    -228191.9435       2794.0563    -230985.9998
